speaker	gender	time_stamp	sent_comment	sentence	phoneme	word	word_comment	duration_ms	context	word_number	language	feature	l_position	f1	f2	f3	f3_f2
sub_06	female	1221.515024	NA	e_01	l	locker	NA	85.304188	ml	two	english	l_clarity	onset	471.5254734	1286.349943	2823.733053	1537.383111
sub_06	female	1229.475625	NA	e_27	l	locker	NA	96.36367964	ml	one	english	l_clarity	onset	462.3845937	1315.624738	2933.376748	1617.75201
sub_06	female	1250.219355	disf	e_28	l	locket	NA	108.3085757	ml	one	english	l_clarity	onset	407.5186637	1325.251954	2946.189706	1620.937752
sub_06	female	1254.449951	NA	e_32	l	ball	NA	118.3860992	ml	one	english	l_clarity	coda	580.0398417	979.6750432	2971.752357	1992.077314
sub_06	female	1268.721451	NA	e_02	l	locket	NA	70.47772331	ml	two	english	l_clarity	onset	567.4954839	1212.433109	2749.783362	1537.350253
sub_06	female	1273.758736	disf	e_13	l	doll	NA	50.87600259	ml	two	english	l_clarity	coda	919.7010244	1468.248911	2841.6832	1373.434289
sub_06	female	1280.49279	disf	e_26	l	leeches	NA	91.84060346	ml	one	english	l_clarity	onset	406.0517041	1249.749748	3046.351034	1796.601286
sub_06	female	1290.090142	NA	e_31	l	doll	NA	116.0659277	ml	one	english	l_clarity	coda	519.6696257	1246.43138	3080.120642	1833.689261
sub_06	female	1299.793543	disf	e_04	l	leeches	NA	88.12117185	ml	two	english	l_clarity	onset	350.1463277	1586.15631	2911.536223	1325.379913
sub_06	female	1303.452202	NA	e_29	l	meal	NA	117.8165711	ml	one	english	l_clarity	coda	604.0328503	1255.905953	3088.462398	1832.556445
sub_06	female	1310.243607	MISSING	e_29	l	meal	MISSING	49.43780942	ml	one	english	l_clarity	coda	1081.67858	2800.318429	4007.142123	1206.823694
sub_06	female	1315.388312	NA	e_02	l	locket	NA	99.33567348	ml	two	english	l_clarity	onset	472.0579664	1318.525593	2770.046119	1451.520527
sub_06	female	1319.736284	NA	e_03	l	leases	NA	89.63403991	ml	two	english	l_clarity	onset	380.4521314	1296.411233	2933.562667	1637.151435
sub_06	female	1324.561473	NA	e_28	l	locket	NA	63.49387544	ml	one	english	l_clarity	onset	543.1763377	1140.957119	2823.163519	1682.2064
sub_06	female	1333.098344	NA	e_27	l	locker	NA	90.85086175	ml	one	english	l_clarity	onset	465.6082031	1303.890688	2947.180692	1643.290004
sub_06	female	1337.658412	NA	e_31	l	doll	NA	102.5927506	ml	one	english	l_clarity	coda	555.3737055	1112.297411	3124.104272	2011.80686
sub_06	female	1354.899517	NA	e_26	l	leeches	NA	73.0523546	ml	one	english	l_clarity	onset	427.9066166	1320.675286	3004.909839	1684.234552
sub_06	female	1374.412366	NA	e_04	l	leeches	NA	89.06842249	ml	two	english	l_clarity	onset	494.2868359	1563.560318	2801.060286	1237.499968
sub_06	female	1383.426454	NA	e_30	l	wheel	NA	82.27162856	ml	one	english	l_clarity	coda	595.7638847	1284.048816	2824.696065	1540.64725
sub_06	female	1387.085113	NA	e_16	l	wheel	NA	84.72868445	ml	two	english	l_clarity	coda	483.3220181	1537.632773	2879.152098	1341.519324
sub_06	female	1391.433085	NA	e_14	l	ball	NA	130.6012357	ml	two	english	l_clarity	coda	669.060739	1005.065797	2926.443861	1921.378064
sub_06	female	1413.498861	NA	e_01	l	locker	NA	62.82798986	ml	two	english	l_clarity	onset	514.7770284	1224.90211	2861.878365	1636.976255
sub_06	female	1416.786352	NA	e_13	l	doll	NA	39.51277743	ml	two	english	l_clarity	coda	1191.501216	2964.649152	3906.513008	941.863856
sub_06	female	1421.399444	disf	e_15	l	meal	NA	77.66973017	ml	two	english	l_clarity	coda	489.8311331	1516.655999	3012.497332	1495.841333
sub_06	female	1440.759698	NA	e_32	l	ball	NA	61.7544966	ml	one	english	l_clarity	coda	590.4240125	968.4787545	2930.641191	1962.162437
sub_06	female	1444.577429	NA	e_25	l	leases	NA	82.9900771	ml	one	english	l_clarity	onset	419.0249511	1432.533943	3047.310319	1614.776375
