speaker	language	word_number	word	spontaneous_response	uncued	cue_semantic_correct	cue_semantic_incorrect	cue_phonemic_correct	cue_phonemic_incorrect
sub_03	english	54	screw		x				
sub_03	english	55	king		x				
sub_03	english	56	scarf		x				
sub_03	english	57	well		x				
sub_03	english	58	dustpan		x				
sub_03	english	59	parachute		x				
sub_03	english	60	blind		x				
sub_03	english	61	hinge		x				
sub_03	english	62	funnel		x				
sub_03	english	63	gauge, barometer, manometer		x				
sub_03	english	64	porthole		x				
sub_03	english	65	anvil		x				
sub_03	english	66	mortar		x				
sub_03	english	67	pestle		x				
sub_03	english	68	axle		x				
sub_03	spanish	1	mano		x				
sub_03	spanish	2	perro		x				
sub_03	spanish	3	árbol		x				
sub_03	spanish	4	cama		x				
sub_03	spanish	5	puerta		x				
sub_03	spanish	6	sol		x				
sub_03	spanish	7	libro		x				
sub_03	spanish	8	mariposa		x				
sub_03	spanish	9	tijeras		x				
sub_03	spanish	10	llave		x				
sub_03	spanish	11	silla		x				
sub_03	spanish	12	luna		x				
sub_03	spanish	13	avión		x				
sub_03	spanish	14	manzana		x				
sub_03	spanish	15	pescado, pez	pescado	x				
sub_03	spanish	16	uvas		x				
sub_03	spanish	17	caballo		x				
sub_03	spanish	18	tambor					x	
sub_03	spanish	19	guante		x				
sub_03	spanish	20	foco, bombilla	foco	x				
sub_03	spanish	21	pastel, tarta	pastel	x				
sub_03	spanish	22	reloj		x				
sub_03	spanish	23	oso		x				
sub_03	spanish	24	tenedor		x				
sub_03	spanish	25	sombrero					x	
sub_03	spanish	26	hoja		x				
sub_03	spanish	27	corbata		x				
sub_03	spanish	28	vela	candela	x				
sub_03	spanish	29	canasta, cesta	DK, basket					x
sub_03	spanish	30	payaso		x				
sub_03	spanish	31	papalote, cometa, barrilete	DK, paracai					x
sub_03	spanish	32	arco iris		x				
sub_03	spanish	33	bruja		x				
sub_03	spanish	34	subibaja, balancín, columpio	DK					x
sub_03	spanish	35	linterna, lámpara portátil		x				
sub_03	spanish	36	nube		x				
sub_03	spanish	37	plancha		x				
sub_03	spanish	38	pluma		x				
sub_03	spanish	39	pavo real	DK					x
sub_03	spanish	40	puente		x				
sub_03	spanish	41	hueso		x				
sub_03	spanish	42	caracol		x				
sub_03	spanish	43	zíper, cierre, cremallera	ziper	x				
sub_03	spanish	44	candado		x				
sub_03	spanish	45	ballena		x				
sub_03	spanish	46	enfermera		x				
sub_03	spanish	47	jaula	DK					x
sub_03	spanish	48	flecha		x				
sub_03	spanish	49	rastrillo	DK					x
sub_03	spanish	50	serrucho, sierra	DK					x
sub_03	spanish	51	nido	DK					x
sub_03	spanish	52	enchufe	DK					x
sub_03	spanish	53	peluca		x				
sub_03	spanish	54	tornillo	DK					x
sub_03	spanish	55	rey		x				
sub_03	spanish	56	bufanda	DK					x
sub_03	spanish	57	pozo	DK					x
sub_03	spanish	58	recogedor	DK					x
sub_03	spanish	59	paracaídas	DK					x
sub_03	spanish	60	persiana	DK					x
sub_03	spanish	61	bisagra	DK					x
sub_03	spanish	62	embudo	DK					x
sub_03	spanish	63	medidor, barómetro, calibrador, manOmetro	DK					x
sub_03	spanish	64	portilla	DK					x
sub_03	spanish	65	yunque	DK					x
sub_03	spanish	66	 molcajete, mortero	DK					x
sub_03	spanish	67	mano de mortero	DK					x
sub_03	spanish	68	eje	DK					x
sub_04	english	1	hand		x				
sub_04	english	2	dog		x				
sub_04	english	3	tree		x				
sub_04	english	4	bed		x				
sub_04	english	5	door		x				
sub_04	english	6	sun		x				
sub_04	english	7	book		x				
sub_04	english	8	butterfly		x				
sub_04	english	9	scissors		x				
sub_04	english	10	key		x				
sub_04	english	11	chair		x				
sub_04	english	12	moon		x				
sub_04	english	13	airplane		x				
sub_04	english	14	apple		x				
sub_04	english	15	fish		x				
sub_04	english	16	grapes		x				
sub_04	english	17	horse		x				
sub_04	english	18	drum		x				
sub_04	english	19	glove		x				
sub_04	english	20	lightbulb		x				
sub_04	english	21	cake		x				
sub_04	english	22	watch		x				
sub_04	english	23	bear		x				
sub_04	english	24	fork		x				
sub_04	english	25	hat		x				
sub_04	english	26	leaf		x				
sub_04	english	27	tie		x				
sub_04	english	28	candle		x				
sub_04	english	29	basket		x				
sub_04	english	30	clown		x				
sub_04	english	31	kite		x				
sub_04	english	32	rainbow		x				
sub_04	english	33	witch		x				
sub_04	english	34	seesaw		x				
sub_04	english	35	flashlight		x				
sub_04	english	36	cloud		x				
sub_04	english	37	iron		x				
sub_04	english	38	feather		x				
sub_04	english	39	peacock		x				
sub_04	english	40	bridge		x				
sub_04	english	41	bone		x				
sub_04	english	42	snail		x				
sub_04	english	43	zipper		x				
sub_04	english	44	lock		x				
sub_04	english	45	whale		x				
