"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"
"135"	"sub_36"	"female"	976.676	NA	"csse_17"	"k"	"cockroach"	NA	63.344847561666	"cs"	"two"	"english"	"VOT"	NA
"136"	"sub_36"	"female"	980.396	NA	"csse_18"	"k"	"carpet"	NA	63.6456085291002	"cs"	"two"	"english"	"VOT"	NA
"137"	"sub_36"	"female"	984.596	NA	"csse_26"	"p"	"pocket"	NA	49.879258450801	"cs"	"two"	"english"	"VOT"	NA
"138"	"sub_36"	"female"	988.58	NA	"csse_08"	"t"	"taza"	NA	13.0460003719008	"cs"	"one"	"spanish"	"VOT"	NA
"139"	"sub_36"	"female"	991.788	NA	"csse_25"	"p"	"polish"	NA	80.8655640503275	"cs"	"two"	"english"	"VOT"	NA
"140"	"sub_36"	"female"	997.609433884639	NA	"csse_06"	"t"	"tina"	NA	22.9320853453601	"cs"	"one"	"spanish"	"VOT"	NA
"141"	"sub_36"	"female"	1008.06	"disf"	"csse_11"	"k"	"caja"	"disf"	30.8102061629825	"cs"	"one"	"spanish"	"VOT"	NA
"142"	"sub_36"	"female"	1016.268	NA	"csse_01"	"p"	"pinzas"	NA	35.8816379982727	"cs"	"one"	"spanish"	"VOT"	NA
"143"	"sub_36"	"female"	1040.692	NA	"cses_03"	"p"	"pocket"	NA	60.8357523303766	"cs"	"one"	"english"	"VOT"	NA
"144"	"sub_36"	"female"	1044.884	NA	"cses_02"	"p"	"peacock"	NA	48.1351775056282	"cs"	"one"	"english"	"VOT"	NA
"145"	"sub_36"	"female"	1057.596	NA	"cses_19"	"k"	"quicio"	NA	56.6546612983529	"cs"	"two"	"spanish"	"VOT"	NA
"146"	"sub_36"	"female"	1063.276	NA	"cses_25"	"p"	"pato"	NA	6.97374491119263	"cs"	"two"	"spanish"	"VOT"	NA
"147"	"sub_36"	"female"	1068.108	NA	"cses_17"	"k"	"caja"	NA	20.6246363213722	"cs"	"two"	"spanish"	"VOT"	NA
"148"	"sub_36"	"female"	1071.7	NA	"cses_28"	"p"	"piso"	NA	9.14853301856056	"cs"	"two"	"spanish"	"VOT"	NA
"149"	"sub_36"	"female"	1075.844	NA	"cses_06"	"t"	"teapot"	NA	81.2193366809879	"cs"	"one"	"english"	"VOT"	NA
"150"	"sub_36"	"female"	1082.16451945873	"disf"	"cses_20"	"k"	"quiste"	NA	39.7533041832503	"cs"	"two"	"spanish"	"VOT"	NA
"151"	"sub_36"	"female"	1087.628	NA	"cses_08"	"t"	"toffee"	NA	100.52583972265	"cs"	"one"	"english"	"VOT"	NA
"152"	"sub_36"	"female"	1091.26	NA	"cses_18"	"k"	"cama"	NA	27.3809215427718	"cs"	"two"	"spanish"	"VOT"	NA
"153"	"sub_36"	"female"	1094.892	NA	"cses_24"	"t"	"tina"	NA	23.1859679070112	"cs"	"two"	"spanish"	"VOT"	NA
"154"	"sub_36"	"female"	1097.884	NA	"cses_05"	"t"	"teacher"	NA	94.9061871488084	"cs"	"one"	"english"	"VOT"	NA
"155"	"sub_36"	"female"	1101.9	"disf"	"cses_12"	"k"	"cockroach"	NA	78.2031774886036	"cs"	"one"	"english"	"VOT"	NA
"156"	"sub_36"	"female"	1106.596	NA	"cses_07"	"t"	"toddler"	NA	117.352050584486	"cs"	"one"	"english"	"VOT"	NA
"157"	"sub_36"	"female"	1118.884	NA	"cses_22"	"t"	"taza"	NA	9.45973167517877	"cs"	"two"	"spanish"	"VOT"	NA
"158"	"sub_36"	"female"	1122.076	NA	"cses_01"	"p"	"peaches"	NA	32.2077043622357	"cs"	"one"	"english"	"VOT"	NA
"159"	"sub_36"	"female"	1126.892	NA	"cses_27"	"p"	"pinzas"	NA	11.9565976963258	"cs"	"two"	"spanish"	"VOT"	NA
"160"	"sub_36"	"female"	1132.88794351564	"disf"	"cses_04"	"p"	"polish"	NA	64.1485984926931	"cs"	"one"	"english"	"VOT"	NA
"161"	"sub_36"	"female"	1145.852	NA	"cses_21"	"t"	"talla"	NA	13.0553277806484	"cs"	"two"	"spanish"	"VOT"	NA
"162"	"sub_36"	"female"	1149.108	NA	"cses_23"	"t"	"tinta"	NA	12.9337884245615	"cs"	"two"	"spanish"	"VOT"	NA
"163"	"sub_36"	"female"	1153.9	"disf"	"cses_26"	"p"	"pavo"	NA	14.2017832381498	"cs"	"two"	"spanish"	"VOT"	NA
"164"	"sub_36"	"female"	1163.9	NA	"cses_10"	"k"	"keyboard"	NA	95.4871497965541	"cs"	"one"	"english"	"VOT"	NA
"165"	"sub_36"	"female"	1167.5	NA	"cses_09"	"k"	"keepsake"	NA	123.73776092295	"cs"	"one"	"english"	"VOT"	NA
"166"	"sub_36"	"female"	1172.532	"disf"	"cses_11"	"k"	"carpet"	NA	83.2687670902033	"cs"	"one"	"english"	"VOT"	NA
